date,close,volume,open,high,low
04/02/2025,382.14,16092560,377.965,385.08,376.62
04/01/2025,382.19,19689500,374.65,382.85,373.23
03/31/2025,375.39,35184680,372.535,377.07,367.24
03/28/2025,378.80,21632020,388.08,389.13,376.93
03/27/2025,390.58,13766760,390.13,392.24,387.395
03/26/2025,389.97,16132910,395.00,395.31,388.57
03/25/2025,395.16,15774970,393.915,396.36,392.64
03/24/2025,393.08,21004550,395.40,395.40,389.81
03/21/2025,391.26,39675930,383.215,391.74,382.80
03/20/2025,386.84,18470540,385.735,391.785,383.28
03/19/2025,387.82,19185530,385.525,389.68,384.00
03/18/2025,383.52,19486850,387.07,387.37,381.10
03/17/2025,388.70,22474270,386.70,392.705,385.57
03/14/2025,388.56,19952850,379.775,390.23,379.51
03/13/2025,378.77,20473020,383.155,385.32,377.45
03/12/2025,383.27,24253570,382.95,385.2165,378.9507
03/11/2025,380.45,30380180,379.00,386.00,376.91
03/10/2025,380.16,32840130,385.84,386.40,377.22
03/07/2025,393.31,22034090,392.32,394.80,385.54
03/06/2025,396.89,23304630,394.28,402.15,392.6777
03/05/2025,401.02,23433130,389.34,401.67,388.81
03/04/2025,388.61,29342920,383.40,392.58,381.00
03/03/2025,388.49,23007730,398.82,398.82,386.155
